country;Year;Population
Afghanistan;2023;42239854
Afghanistan;2022;41128771
Afghanistan;2020;38972230
Afghanistan;2015;33753499
Afghanistan;2010;28189672
Afghanistan;2000;19542982
Afghanistan;1990;10694796
Albania;2023;2832439
Albania;2022;2842321
Albania;2020;2866849
Albania;2015;2882481
Albania;2010;2913399
Albania;2000;3182021
Albania;1990;3295066
Algeria;2023;45606480
Algeria;2022;44903225
Algeria;2020;43451666
Algeria;2015;39543154
Algeria;2010;35856344
Algeria;2000;30774621
Algeria;1990;25518074
American Samoa;2023;43914
American Samoa;2022;44273
American Samoa;2020;46189
American Samoa;2015;51368
American Samoa;2010;54849
American Samoa;2000;58230
American Samoa;1990;47818
Andorra;2023;80088
Andorra;2022;79824
Andorra;2020;77700
Andorra;2015;71746
Andorra;2010;71519
Andorra;2000;66097
Andorra;1990;53569
Angola;2023;36684202
Angola;2022;35588987
Angola;2020;33428485
Angola;2015;28127721
Angola;2010;23364185
Angola;2000;16394062
Angola;1990;11828638
Anguilla;2023;15899
Anguilla;2022;15857
Anguilla;2020;15585
Anguilla;2015;14525
Anguilla;2010;13172
Anguilla;2000;11047
Anguilla;1990;8316
Antigua and Barbuda;2023;94298
Antigua and Barbuda;2022;93763
Antigua and Barbuda;2020;92664
Antigua and Barbuda;2015;89941
Antigua and Barbuda;2010;85695
Antigua and Barbuda;2000;75055
Antigua and Barbuda;1990;63328
Argentina;2023;45773884
Argentina;2022;45510318
Argentina;2020;45036032
Argentina;2015;43257065
Argentina;2010;41100123
Argentina;2000;37070774
Argentina;1990;32637657
Armenia;2023;2777970
Armenia;2022;2780469
Armenia;2020;2805608
Armenia;2015;2878595
Armenia;2010;2946293
Armenia;2000;3168523
Armenia;1990;3556539
Aruba;2023;106277
Aruba;2022;106445
Aruba;2020;106585
Aruba;2015;104257
Aruba;2010;100341
Aruba;2000;89101
Aruba;1990;65712
Australia;2023;26439111
Australia;2022;26177413
Australia;2020;25670051
Australia;2015;23820236
Australia;2010;22019168
Australia;2000;19017963
Australia;1990;17048003
Austria;2023;8958960
Austria;2022;8939617
Austria;2020;8907777
Austria;2015;8642421
Austria;2010;8362829
Austria;2000;8010428
Austria;1990;7678729
Azerbaijan;2023;10412651
Azerbaijan;2022;10358074
Azerbaijan;2020;10284951
Azerbaijan;2015;9863480
Azerbaijan;2010;9237202
Azerbaijan;2000;8190337
Azerbaijan;1990;7427836
Bahamas;2023;412623
Bahamas;2022;409984
Bahamas;2020;406471
Bahamas;2015;392697
Bahamas;2010;373272
Bahamas;2000;325014
Bahamas;1990;270679
Bahrain;2023;1485509
Bahrain;2022;1472233
Bahrain;2020;1477469
Bahrain;2015;1362142
Bahrain;2010;1213645
Bahrain;2000;711442
Bahrain;1990;517418
Bangladesh;2023;172954319
Bangladesh;2022;171186372
Bangladesh;2020;167420951
Bangladesh;2015;157830000
Bangladesh;2010;148391139
Bangladesh;2000;129193327
Bangladesh;1990;107147651
Barbados;2023;281995
Barbados;2022;281635
Barbados;2020;280693
Barbados;2015;278083
Barbados;2010;274711
Barbados;2000;264657
Barbados;1990;258868
Belarus;2023;9498238
Belarus;2022;9534954
Belarus;2020;9633740
Belarus;2015;9700609
Belarus;2010;9731427
Belarus;2000;10256483
Belarus;1990;10428525
Belgium;2023;11686140
Belgium;2022;11655930
Belgium;2020;11561717
Belgium;2015;11248303
Belgium;2010;10877947
Belgium;2000;10264343
Belgium;1990;9959560
Belize;2023;410825
Belize;2022;405272
Belize;2020;394921
Belize;2015;359871
Belize;2010;322106
Belize;2000;240406
Belize;1990;182589
Benin;2023;13712828
Benin;2022;13352864
Benin;2020;12643123
Benin;2015;10932783
Benin;2010;9445710
